episode,metric,count,valid_count,null_count,null_ratio,mean,std,min,max,median,q25,q75
Episode 1,H_X,35,28,7,20.0,0.005472592391302434,0.013199916092818762,2.1605401420125588e-05,0.062464989906586485,0.00082890526392308,0.0003282608527701427,0.0015473805113340828
Episode 1,H_X_given_S,35,27,8,22.857142857142858,0.004963050431308611,0.014211881200066832,1.3921798866045297e-05,0.07478248837995079,0.0007383213395085924,0.00023299000361983518,0.0018406054625905873
Episode 1,H_X_given_LS,35,31,4,11.428571428571429,0.0010837993038792905,0.001466291058910648,4.799603648059307e-05,0.0074338430043001105,0.00047521873979090097,0.00020082865500533088,0.0017316798023636908
Episode 1,trust_T,35,22,13,37.142857142857146,-1.8332982654971985,7.082040656273513,-29.954271975766762,2.0648926119715374,0.4927899401646858,-0.16377195154595764,0.6370570973074567
Episode 2,H_X,46,35,11,23.91304347826087,0.026426268899256537,0.10189265246648105,2.2121097737003895e-05,0.5902423882979826,0.0010411164906864146,0.0002759675915312334,0.00426218593786398
Episode 2,H_X_given_S,46,37,9,19.565217391304348,0.050988050952381826,0.23036073232306997,1.965053576627186e-05,1.3649142692705323,0.0005197249874785032,0.0001626950867446738,0.0014518185974334566
Episode 2,H_X_given_LS,46,38,8,17.391304347826086,0.047704250061885334,0.2842223213306707,0.000140293276824379,1.7765443462485306,0.0005720105850652414,0.00026795846196596613,0.0008719162948556122
Episode 2,trust_T,46,25,21,45.65217391304348,-5.334972693878861,33.73972764249912,-169.79040451067954,14.837055999852439,0.8996355080202962,-0.004434093227568398,1.3690989619323726
Episode 3,H_X,38,31,7,18.421052631578945,0.003105016598834154,0.008318801215354494,1.1609840688639061e-05,0.03587608077663963,0.00047669602663387136,0.00023662893492761472,0.000965179904570922
Episode 3,H_X_given_S,38,28,10,26.31578947368421,0.015537663256366173,0.03742702882632897,4.025501961694183e-05,0.1645839214139686,0.0009068145685378397,0.00035307453374584346,0.003903516483192119
Episode 3,H_X_given_LS,38,29,9,23.684210526315788,0.007556823395939638,0.03240249183060307,3.235990149878278e-05,0.1779250884679908,0.0005975536868253702,0.00028606327789769685,0.0011132035795639733
Episode 3,trust_T,38,20,18,47.368421052631575,12.47949330083898,37.59661973396679,-7.22151555882573,170.4323611937341,0.8049336006876167,-0.19591596209050902,2.911414866534093
